,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
TSPAN6,2.1274,10.3744,38.5881,20.7899,18.9922,8.4969,4.2183,19.5097,37.865,4.5992,6.6985,4.1786
TNMD,0.0093,0.0561,0,0.0268,0.0584,0.0153,0.0316,0.0298,0.182,0,0.0356,0.0182
DPM1,29.2089,50.4831,64.82,22.3018,41.8341,42.6507,23.2824,64.024,109.931,69.5857,47.7527,23.8174
SCYL3,1.442,3.4204,2.0264,1.0932,2.4101,2.7679,2.2642,3.7397,3.7004,2.0279,1.9594,3.8678
C1ORF112,0.256,2.8138,1.3457,0.4499,1.6391,2.069,1.3196,2.7736,5.1381,2.186,2.4612,1.2596
FGR,1.563,4.808,3.8712,1.8103,1.5998,1.6014,4.9533,2.2527,2.2488,1.2609,2.1878,5.9068
CFH,4.1781,9.1878,5.0548,11.018,7.6928,10.296,12.4941,5.7559,9.2742,1.8984,14.908,34.2731
FUCA2,8.488,39.0252,25.5166,9.9306,17.216,19.5788,23.0223,42.8332,22.7567,20.4606,21.2736,8.9428
GCLC,3.5238,9.4982,5.2934,3.5681,7.212,4.045,3.595,9.6031,4.775,6.8161,4.4695,4.1787
NFYA,3.3449,11.3383,8.1542,3.2855,10.5524,13.5879,9.9067,13.1562,16.8511,13.094,7.2246,8.5599
STPG1,1.2066,0.8216,0.5659,1.1556,1.5842,1.2767,0.7829,0.7348,1.371,1.8436,1.7881,1.5474
NIPAL3,4.6459,4.066,3.5646,4.6199,4.5463,3.1049,5.1714,4.2194,3.8918,8.0802,2.6678,9.0942
LAS1L,1.8399,3.9382,1.5405,1.5699,3.0215,2.6932,2.6103,5.4202,2.4753,3.3621,2.8297,3.8562
ENPP4,6.2487,7.1663,5.258,2.9854,5.3184,6.4372,7.1575,4.6016,5.8025,1.5246,7.974,7.3113
SEMA3F,3.4144,12.4745,15.0904,45.1622,16.6788,20.3286,6.6811,20.1282,2.7275,11.7792,2.8562,6.4084
CFTR,0.8599,4.4225,2.0539,0.7529,16.4191,0.0781,13.7336,13.9465,1.986,25.3317,4.5464,14.8122
ANKIB1,5.293,209.3066,4.5404,5.2093,14.5396,14.6549,9.1235,14.9314,12.5404,33.3971,11.297,12.0851
CYP51A1,0.6046,16.7857,1.054,2.3001,1.5716,2.1473,0.7632,0.9952,0.5328,3.2109,0.2032,0.8234
KRIT1,0.983,13.9165,0.8933,0.503,0.9237,1.4882,1.1167,1.3895,1.7645,4.2355,1.3759,1.6479
RAD52,1.4032,1.902,2.383,0.7412,1.7243,2.7931,2.3545,1.7457,4.1051,2.9253,2.6648,4.1645
MYH16,0.0175,0.0612,0.059,0.0094,0.1681,0.1375,0.0321,0.0838,0.1917,0.3349,0.0111,0.1514
BAD,11.1145,6.8799,8.3621,7.6661,3.0595,7.4098,5.3415,5.8916,2.4968,6.8245,2.3658,5.7889
LAP3,13.4752,50.5294,24.6945,11.8235,37.8659,27.535,87.7781,95.5181,27.2357,21.9148,61.2905,33.8281
CD99,55.4386,32.1634,42.8291,31.4655,14.8666,35.5198,26.5934,15.4448,20.636,8.0063,49.7119,24.7143
HS3ST1,0.9684,4.0569,3.1916,10.1496,5.4885,1.5508,4.7555,7.1167,0.9688,5.9906,3.5126,5.9382
AOC1,32.561,38.6475,53.3204,3.4272,28.0412,4.0923,51.7523,14.0922,40.2529,20.4858,10.0307,29.168
WNT16,0.2151,0.0549,0.0969,0.0424,0.4795,0.0345,0.1145,0.027,0.0514,0.0373,0.1233,0.6594
HECW1,0.0454,0.0752,0.032,0.0213,0.2167,0.2206,0.0223,0.0213,0.4458,0.0389,0.0439,0.0589
MAD1L1,0.0133,0.0782,0.0669,0.0137,0.1227,0.0857,0.0603,0.0685,0.1579,0.0431,0.0387,0.6308
LASP1,20.3616,47.5913,61.4274,21.0582,71.0692,62.2721,45.9195,93.1762,131.8496,84.1041,28.4397,41.2333
SNX11,3.7638,4.6719,3.5547,4.033,3.3458,5.6394,5.5111,9.0544,3.9079,5.3884,3.5256,6.6041
TMEM176A,10.381,43.8829,200.9465,9.5537,29.4485,18.6852,54.5023,12.9412,63.2174,11.3654,24.5759,21.7783
M6PR,5.8905,17.8815,7.9472,9.0566,12.1664,12.1109,10.3271,27.8636,20.9153,11.4951,18.3707,17.5837
KLHL13,2.1922,2.4175,1.9894,1.0408,0.2806,0.4741,0.7135,0.0441,2.0701,0.8492,1.498,1.8706
CYP26B1,0.258,0.2035,0.471,2.4219,0.5087,0.4401,3.8154,0.0944,0.3381,0.3941,1.3638,1.0086
ICA1,2.151,6.4398,6.5469,4.0041,10.0934,13.3904,4.113,3.1137,13.3098,8.847,6.355,4.6751
DBNDD1,1.5827,0.7511,2.359,12.101,7.5931,9.6573,1.1619,1.7593,4.7298,14.961,4.034,3.4942
ALS2,1.8055,3.8133,2.0471,1.2847,4.5647,4.22,3.0786,4.7412,7.5229,3.6381,3.6165,2.9346
CASP10,1.9575,4.9794,4.1875,3.0402,6.6102,3.7948,8.6193,20.3493,4.9609,11.813,6.1262,7.5823
CFLAR,4.1337,6.9037,3.8792,4.7434,5.8309,5.8781,6.9994,6.0434,5.7302,7.872,6.0759,13.8892
TFPI,3.247,2.2771,5.9789,3.7681,5.0712,2.156,4.2119,0.7002,23.5703,20.8167,2.2579,6.2794
NDUFAF7,2.6167,4.2649,3.8916,1.3523,3.3925,3.8427,2.9466,4.1886,6.2081,2.8033,4.3408,3.6956
RBM5,3.5435,4.1827,3.9126,1.9793,5.4763,4.3204,6.8532,4.8888,8.971,7.7722,10.7062,11.9638
MTMR7,0.3815,0.2668,0.2094,0.114,0.0978,0.1707,0.2023,0.1081,0.3562,0.1544,0.4621,0.3107
SLC7A2,4.6392,1.3696,7.7682,2.301,6.2706,12.8935,1.1029,0.0529,15.188,0.4504,1.0024,10.2701
ARF5,25.3674,28.2415,42.1669,51.4455,35.1031,30.4599,25.5586,35.4421,18.4178,35.2286,22.6395,24.4132
SARM1,0.8132,1.16,0.8089,0.409,0.6659,0.9095,0.6659,0.1933,1.5089,0.4547,0.4521,1.4755
POLDIP2,23.4179,43.2304,44.5075,32.7601,43.0206,58.1584,39.7152,67.2416,70.132,40.8676,39.4792,21.3272
PLXND1,4.2637,17.2627,9.1633,6.1973,30.4059,25.7476,15.0166,8.1654,7.7157,9.7615,7.012,20.5438
AK2,5.106,13.4051,10.2443,7.3047,11.2912,5.4082,12.3581,15.8608,10.1033,14.7266,14.9353,9.8758
CD38,0.9235,4.061,1.5676,0.8266,2.4732,5.7588,2.1865,12.5318,2.8525,0.4265,3.3623,6.066
FKBP4,7.5616,10.2926,7.7046,12.0684,13.8308,25.3393,20.9515,27.8388,14.1001,28.8932,28.0495,10.0547
KDM1A,8.4672,11.4215,13.5854,9.4099,23.0587,9.3079,16.4675,17.1217,29.4555,26.7003,21.7466,14.0656
RBM6,7.8893,7.2843,6.3442,3.485,10.734,5.8281,6.5932,7.5314,11.0848,9.6022,10.4394,12.881
CAMKK1,1.0242,0.8684,0.4704,0.8954,1.1507,1.0392,1.3552,0.3229,3.1668,1.5099,0.7578,1.2524
RECQL,2.2476,8.1497,2.2539,1.5574,13.0518,6.853,5.4959,7.738,8.2992,2.823,8.9476,9.7609
VPS50,1.7973,26.9362,1.428,1.2314,2.157,3.9637,3.1402,3.9736,4.3647,11.7564,4.4102,3.9024
HSPB6,860.5756,4.264,2.028,52.2485,1.394,16.1973,58.9522,0.6578,4.3824,0.7539,4.7993,21.4348
ARHGAP33,1.7927,1.8617,0.3465,0.6383,2.2704,2.6458,1.3142,2.9345,3.1376,3.786,3.9308,2.9078
NDUFAB1,41.5208,48.3522,25.1565,20.1703,16.0028,45.1989,43.5989,64.3227,36.171,57.0294,62.1275,24.7582
PDK4,222.3063,10.4624,4.8621,10.1745,23.1628,18.0616,9.8196,2.7621,3.2404,5.1989,8.9579,24.0685
SLC22A16,0,0.1094,0.0048,0,0.0032,0.0058,0.0359,0,0.0516,0.0069,0.0448,0.031
ZMYND10,0.0762,0.1193,0.1094,0.0615,0.1152,1.7266,0.1724,0.1562,0.1569,0.403,0.1211,0.1909
ABCB5,0.0877,0.0566,0.0141,0,0.0027,0.0134,0.0572,0,0.0363,0.0015,0.0132,0.0596
ARX,0.0707,0.2702,0.0299,0.0127,0.0277,0.7087,0.555,0.0035,0.1779,0.0043,0.4494,0.0346
SLC25A13,2.8905,18.0374,5.4738,4.1734,13.773,11.9396,7.134,20.2477,20.0342,20.4202,7.3977,6.088
ST7,2.6157,4.2543,3.7473,2.8023,3.1954,5.5954,4.0747,4.2126,3.7922,4.6883,5.5833,3.5208
